ESCOLA,SÉRIE,DATADEINÍCIO,IDADE,SEXO,RELIGIÃO,RAÇA,CORDEPELE,BEMCONSIGOMESMO,ACREDITOEMSORTEMAISDOQUETRABALHO,ALGOMEIMPEDEDECONQUISTARASCOISAS,PLANOSSEMPREDÃOERRADO,INÚTIL,ACREDITONOSMEUSPLANOS,INCLUSÃODEPORTADORESDEDEFICIÊNCIAEMSALASCOMUNS,FILHALÉSBICA,TANTOFAZBRANCOSOUNEGROS,IMPORTANTEESCOLASESPECIAISPARAPORTADORESDEDEFICIÊNCIA,GAYSREVEJAMSUAOPÇÃO,BRANCOSMAISDISCIPLINADOS,ALGUNSGRUPOSTEMMAISVALOR,USARFORÇACONTRAOUTROS,TANTOFAZAMIGOSBRANCOSENEGROS,NORMALUMGRUPOTERMAISOPORTUNIDADE,GRUPOSSUPERIORESDEVEMCONDUZIR,PAISENCORAJADORES,PAISAPOIAMATIVIDADESEXTERNAS,PAISQUEOUVEM,PAISORGULHOSOS,PAISQUEAJUDAMATOMARDECISÕES,SATISFEITOCOMSITUAÇÃOFINANCEIRA,FREQUENCIASEMCOMIDA,FREQUENCIADESENTIREMINSEGUROS,FREQUENCIASEMREMEDIO,FREQUENCIASEMDINHEIRO,CRIMENAESCOLA,BULLYINGNAESCOLA,AMEAÇASNAESCOLA,ALUNOSGOSTAMDEDIMINUIROSOUTROS,ALUNOSSEAJUDAMAAPRENDER,ALUNOSNÃOSEDÃOBEM,ALUNOSSETRATAMCOMRESPEITO,MEDODESOFRERBULLYINGNAESCOLA,MEDODESOFRERBULLYINGNAINTERNET,SEMPREESTUDO,FAÇOBEMMINHALIÇÃO,PREFIROESTUDARASAIRCOMAMIGOS,GRUPOSINFERIORESPERMANCEMNOSEULUGAR,GRUPOSDEVEMTERMESMAOPORTUNIDADE,AUMENTARIGUALDADESOCIAL,SALÁRIOSMAISIGUAIS,BRIGAENTREALUNOS,DESORDEMNASSALAS,DESRESPEITOCOMPROFESSOR,AMEAÇAAPROFESSORES,ROUBOSNAESCOLA,ALUNOSCOMBEBIDA,ALUNOSCOMDROGAS,ALUNOSFAZEMBULLYING,RESPEITOAOSPROFESSORES,SEGURANÇACOMPROFESSORES,PROFESSORESRESPEITOSOS,GAYSSEMVALORES,DEFICIÊNCIASEPARADA,NEGROSCOMOBRANCOS,CHEFEGAY,GAYSTRANSIMITEMIDEIASDIFERENTES,NEGROSMENOSTRABALHADORES,ROUBONOBAIRRO,BEBIDANOBAIRRO,INTERFERENCIAMILITARNOBAIRRO,COMPORTAMENTORACISTANOBAIRRO,VENDADEDROGASNOBAIRRO,AUTORIDADEÉVIRTUDE,HOMENSSÃOFRACOSOUFORTES,FALEMENOSETRABALHEMAIS,CASTIGARINSULTOS,SEMPREHAVERÁGUERRAS,DISCIPLINAFIRME,PENADEMORTE,PAI,PADRASTO,PAIADOTIVO,MÃE,MADRASTA,MÃEADOTIVA,IRMÃO,IRMÃ,AVÓ,MEUCONJUGE,MEUFILHO,OUTROSPARENTES,PESSOASQUENÃOSÃOPARENTES,HORASNAINTERNETPARAESTUDAR,HORASNAINTERNETPARACOMUNICAÇÃO,HORASNAINTERNETPARAJOGAR,HORASNATELEVISÃO
3,EM 2,09/18/2015,12,Masculino,Católica,Moreno,7,4,1,1,1,1,2,4,2,4,2,3,1,1,1,4,4,4,4,3,4,4,3,9,1,2,1,2,4,2,1,2,3,2,3,1,1,2,4,3,3,4,4,4,1,2,1,1,2,1,1,2,4,4,3,2,1,3,4,3,1,2,3,1,1,2,4,1,3,3,3,4,1,0,1,0,1,0,0,1,1,2,NA,NA,NA,NA,4,5,6,2
3,EM 2,09/21/2015,13,Masculino,Evangélica,Branco,2,4,1,2,2,2,3,4,3,4,3,3,2,2,2,4,3,3,4,3,4,4,4,8,1,2,2,1,3,2,2,1,4,2,3,3,2,3,4,2,2,3,3,3,2,2,1,1,2,1,1,2,3,3,3,2,2,3,3,2,2,2,2,2,2,2,3,3,3,3,2,4,2,1,0,0,0,0,0,1,0,2,0,0,1,0,6,6,6,2
3,EM 2,09/18/2015,12,Masculino,Evangélica,Moreno,9,4,1,2,1,1,4,4,1,4,1,4,1,1,1,4,1,4,4,3,3,4,4,8,1,3,1,1,3,3,3,1,3,2,2,1,2,3,4,2,2,3,4,3,3,2,3,1,2,1,1,2,4,4,3,2,1,4,1,3,1,2,1,1,1,1,4,1,2,2,2,4,4,1,0,0,1,0,0,NA,1,NA,NA,NA,NA,NA,5,5,2,5
3,EM 2,09/18/2015,12,Masculino,Católica,Branco,6,4,1,2,3,1,3,3,2,4,2,3,2,2,1,4,4,4,4,4,4,4,3,9,1,2,2,2,2,2,2,1,4,2,4,1,2,3,4,4,2,2,4,2,1,1,1,1,1,1,1,1,4,4,4,2,2,2,4,3,2,2,3,2,1,1,4,1,3,2,2,2,1,1,NA,NA,1,NA,NA,1,NA,0,NA,NA,NA,NA,4,2,5,6
3,EM 2,09/18/2015,12,Feminino,Evangélica,Branco,6,3,2,1,1,1,4,4,1,4,4,3,2,2,2,3,3,2,4,3,3,4,4,10,1,1,1,1,3,2,2,2,3,2,3,3,1,3,3,3,2,3,3,3,1,2,1,1,1,1,1,2,3,3,3,3,2,3,3,3,3,2,2,1,1,1,3,2,3,1,1,4,3,1,0,0,1,0,0,2,0,0,0,0,0,0,4,2,2,6
3,EM 2,09/18/2015,12,Feminino,Evangélica,Branco,2,4,4,2,1,1,4,1,1,4,4,4,1,1,1,4,4,4,4,2,4,4,4,9,1,1,1,1,4,4,4,3,4,3,2,4,4,3,3,4,4,4,1,4,2,4,2,1,2,2,1,3,4,3,3,1,1,1,4,4,1,2,2,1,1,2,4,1,4,2,2,4,1,1,0,0,1,0,0,1,0,4,1,0,0,0,5,5,5,4
3,EM 2,09/18/2015,14,Masculino,Não Possui Religião,Moreno,7,1,1,3,3,1,4,4,4,4,1,1,1,4,2,4,4,1,4,4,4,4,4,10,1,4,1,1,4,4,2,4,3,4,2,1,1,2,4,1,2,4,4,3,2,4,1,1,2,2,2,2,4,4,3,1,1,1,1,4,1,4,4,1,1,4,4,1,4,2,4,4,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,7,7,7
3,EM 2,09/18/2015,12,Feminino,Evangélica,Branco,1,3,2,1,2,3,4,4,2,4,3,3,2,2,1,4,3,1,4,3,2,3,4,6,1,1,2,2,2,3,2,2,3,3,4,2,3,2,3,3,2,4,3,3,2,2,2,1,1,2,1,3,3,4,4,2,1,2,3,2,1,1,2,1,1,1,4,1,2,1,3,3,1,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,2,6,5,7
3,EM 2,09/18/2015,13,Feminino,Outra Religião,Branco,2,4,1,3,3,1,3,3,2,4,4,3,3,3,3,4,3,2,4,3,4,4,3,7,1,2,1,1,3,3,3,2,3,2,3,2,2,4,4,4,3,3,3,2,2,3,2,2,1,1,1,3,4,3,3,4,2,2,1,4,2,2,2,2,2,2,3,2,4,3,2,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,6,6,2,6
3,EM 2,09/18/2015,12,Masculino,Evangélica,Moreno,7,4,3,3,4,2,1,4,1,4,4,1,4,4,4,4,4,4,4,4,1,4,4,9,1,1,1,1,1,4,3,4,3,3,2,3,3,2,2,1,1,4,4,4,2,3,2,1,3,1,1,3,3,4,4,1,1,1,4,1,1,1,3,1,1,1,4,1,4,1,4,3,4,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,5,6,2,5
